time,probability
0.5,0.975
31.0,0.95
61.0,0.8999999999999999
153.0,0.8749999999999999
277.0,0.8499999999999999
365.0,0.8249999999999998
547.0,0.7749999999999999
566.0,0.7499999999999999
638.0,0.7249999999999999
760.0,0.7
791.0,0.6749999999999999
1125.0,0.6499999999999999
1434.0,0.6249999999999999
1767.0,0.5999999999999999
2006.0,0.5749999999999998
2099.0,0.5499999999999998
2223.0,0.5249999999999998
2422.0,0.4999999999999998
2587.0,0.47499999999999976
2860.0,0.44999999999999973
2910.0,0.4249999999999997
3012.0,0.39999999999999974
3014.0,0.3749999999999998
3167.0,0.3499999999999998
3186.0,0.32499999999999984
3962.0,0.2999999999999999
4119.0,0.27499999999999986
4206.0,0.24999999999999986
4505.0,0.22499999999999987
4758.0,0.19999999999999987
5216.0,0.17499999999999988
5384.0,0.14999999999999988
5789.0,0.1249999999999999
6143.0,0.09999999999999992
6607.0,0.07499999999999994
6626.0,0.04999999999999996
8080.0,0.04999999999999996
8327.0,0.0
