model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,iris,0.4,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,5,8.0,0.6,0.6,1.6,0.951830002149151,0.9823984526112186,0.3244444444444444,0.0619661808013916,0.072531982,0.001481011,1.0,1.0,1.6222222222222222,1.5333333333333334,3.0,0.0,3.0,0.0,C2,C2,C2
complex,no_discretization,iris,0.0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,7,11.0,1.0,0.5714285714285714,1.5714285714285714,0.936156462585034,0.9863826926119283,0.3079365079365079,0.077307227,0.1554709699999999,0.003926284,1.0,1.0,2.1555555555555554,2.333333333333333,3.0,0.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.5,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,4,4.0,0.5,0.0,1.0,0.7909869976359338,0.8643617021276596,0.4166666666666666,0.0580027103424072,0.071048947,0.0014370189999999,1.0,1.0,1.6666666666666667,1.6666666666666667,47.0,6.0,47.0,6.0,C2,C2,C2
plain,no_discretization,iris,0.0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,9,14.0,1.1111111111111112,0.4444444444444444,1.5555555555555556,0.8300559085422788,0.9766161478141392,0.2510288065843621,0.027153451,0.031893418,0.006038572,0.8888888888888888,0.7777777777777778,2.259259259259259,2.4,10.0,1.0,10.0,1.0,C2,C2,C2
