time,probability
0.5,0.9487179487179487
31.0,0.8974358974358974
32.0,0.8717948717948717
60.0,0.846153846153846
61.0,0.8205128205128204
153.0,0.7948717948717947
277.0,0.769230769230769
518.0,0.7435897435897434
547.0,0.6923076923076921
566.0,0.6666666666666664
791.0,0.6410256410256407
809.0,0.6153846153846151
845.0,0.5897435897435894
1077.0,0.5641025641025638
1766.0,0.5384615384615382
2099.0,0.5128205128205126
2223.0,0.4871794871794869
2400.0,0.46153846153846123
2422.0,0.43589743589743557
2678.0,0.41025641025640996
2860.0,0.38461538461538436
3012.0,0.35897435897435875
3167.0,0.33333333333333315
3186.0,0.30769230769230754
3226.0,0.2820512820512819
3932.0,0.2564102564102562
3962.0,0.23076923076923062
4758.0,0.20512820512820498
4959.0,0.17948717948717935
5384.0,0.15384615384615372
6089.0,0.1282051282051281
6143.0,0.10256410256410249
6626.0,0.07692307692307687
7875.0,0.07692307692307687
8080.0,0.07692307692307687
8806.0,0.0
