model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,std,0.07692307692307693,0.1951278527914129,0.2761494080787391,13,45.0,2.0,1.3846153846153846,3.4615384615384617,0.9752514176898914,1.0,0.1805596178219752,1707499186.4036584,2.6834188139999995,2.586805357,0.8461538461538461,0.6153846153846154,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.5,0.2078576994145466,0.2196520869575335,6,13.0,1.0,0.6666666666666666,2.1666666666666665,0.9852370296610378,1.0,0.2437684833122095,1707498451.1338627,0.8265579900000001,1.082067413,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.0,0.1978914464628484,0.1866606724255881,12,50.0,1.4166666666666667,2.75,4.166666666666667,0.9772494384487708,1.0,0.1385720321081538,1707504607.3182354,9.773000677,11.507179711000004,0.8333333333333334,0.5,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.0,0.1959315861251747,0.2718467249977295,22,98.0,2.9545454545454546,1.5,4.454545454545454,0.934937903039416,1.0,0.0876294591484465,1707508115.047479,30.42075314500001,56.802036348,0.5,0.2272727272727272,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.25,0.2035579776436936,0.1913608476590102,8,22.0,1.375,1.125,2.75,0.9816631827258748,1.0,0.2292721518987341,1707505192.2456524,2.77705363,3.929609857,0.75,0.625,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.0,0.200914138670116,0.3311794410122189,19,79.0,1.894736842105263,2.263157894736842,4.157894736842105,0.978906759467165,1.0,0.1230738443065839,1707499765.290027,3.660747481000001,3.521150946000001,0.8421052631578947,0.6842105263157895,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.10526315789473684,0.193899611094182,0.1951472756879865,19,86.0,2.4210526315789473,2.0,4.526315789473684,0.9711219559997272,1.0,0.1460209459008738,1707501076.9034648,12.925132957000002,21.76611993,0.7894736842105263,0.5789473684210527,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.0,0.2028191750318718,0.1788852466009137,13,45.0,2.230769230769231,1.2307692307692308,3.4615384615384617,0.9786519866848236,1.0,0.1122160475772642,1707498052.47851,4.033860882,5.506859947,0.8461538461538461,0.7692307692307693,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.28,0.1956515464753839,0.17096459703005,25,109.0,2.16,1.92,4.36,0.9394523301135638,1.0,0.0743219264892268,1707502463.4816103,19.622154461,26.213517227,0.48,0.32,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,std,0.17142857142857143,0.1920941143125356,0.1998706736119165,35,161.0,2.3142857142857145,2.1142857142857143,4.6,0.9533437293881958,1.0,0.0711754068716094,1707506199.045891,13.098414883,19.356563753000003,0.5714285714285714,0.2571428571428571,Correlation,Correlation,Correlation
