time,probability
0.003,0.9329896907216495
0.2,0.9278350515463918
0.3,0.9226804123711341
0.4,0.8917525773195877
0.5,0.8711340206185567
0.6,0.8608247422680413
0.7,0.8402061855670104
0.8,0.8298969072164949
0.9,0.8195876288659794
1.0,0.7938144329896907
1.1,0.7628865979381443
1.2,0.7577319587628866
1.3,0.7525773195876289
1.4,0.7474226804123711
1.5,0.711340206185567
1.6,0.7061855670103093
1.7,0.6855670103092785
1.8,0.6804123711340206
1.9,0.6649484536082475
2.0,0.6597938144329898
2.1,0.6494845360824744
2.4,0.6443298969072166
2.5,0.6391752577319589
2.7,0.6288659793814435
2.9,0.6185567010309281
3.0,0.6082474226804125
3.1,0.6030927835051548
3.2,0.5979381443298971
3.4,0.5876288659793816
3.5,0.5824742268041239
3.7,0.5721649484536084
4.0,0.5670103092783507
4.1,0.5567010309278353
4.2,0.5515463917525776
4.3,0.5412371134020622
4.7,0.5360824742268044
4.8,0.5309278350515467
5.3,0.5206185567010313
5.4,0.5103092783505159
5.6,0.5051546391752582
5.7,0.5000000000000004
6.0,0.48969072164948496
6.1,0.4845360824742272
6.4,0.4742268041237117
6.5,0.46907216494845394
6.8,0.4639175257731962
6.9,0.4587628865979385
7.0,0.44845360824742303
7.1,0.4432989690721653
7.5,0.43814432989690755
7.8,0.43298969072164983
8.8,0.4278350515463921
8.9,0.42268041237113435
9.0,0.40721649484536115
9.4,0.40206185567010344
9.5,0.3969072164948457
10.2,0.391752577319588
10.5,0.391752577319588
10.8,0.38130584192439904
11.1,0.3760824742268045
11.3,0.3760824742268045
11.4,0.37078553797008895
11.8,0.36548860171337344
12.0,0.3601916654566579
12.3,0.3601916654566579
12.6,0.3494396754430263
12.7,0.3494396754430263
13.0,0.343979680514229
13.1,0.3328835617879636
13.2,0.32178744306169815
13.3,0.3161420493237736
13.6,0.31049665558584905
13.7,0.31049665558584905
13.8,0.30474671751944443
13.9,0.2989967794530398
14.0,0.2874969033202306
14.3,0.2874969033202306
14.4,0.2816296195790014
14.7,0.27563750001349074
15.3,0.26951222223541316
15.4,0.26951222223541316
15.5,0.26324449613691514
15.6,0.26324449613691514
15.9,0.2568238986701611
16.0,0.25040330120340704
16.2,0.243982703736653
16.3,0.243982703736653
16.4,0.23738857660863538
16.5,0.23079444948061772
16.8,0.22400637743707014
17.0,0.22400637743707014
17.2,0.22400637743707014
17.3,0.22400637743707014
17.8,0.22400637743707014
17.9,0.21539074753564436
18.0,0.21539074753564436
18.1,0.2064161330549925
18.4,0.2064161330549925
18.6,0.2064161330549925
19.2,0.2064161330549925
19.4,0.2064161330549925
20.0,0.2064161330549925
20.4,0.19427400758116942
21.6,0.19427400758116942
21.7,0.19427400758116942
22.1,0.19427400758116942
22.3,0.19427400758116942
22.5,0.19427400758116942
22.7,0.19427400758116942
23.1,0.19427400758116942
23.3,0.19427400758116942
23.4,0.16998975663352323
24.0,0.16998975663352323
24.1,0.16998975663352323
24.5,0.16998975663352323
24.6,0.16998975663352323
27.0,0.16998975663352323
28.9,0.08499487831676161
31.1,0.08499487831676161
