time,probability
0.003,0.9180327868852459
0.2,0.9016393442622951
0.4,0.819672131147541
0.6,0.8032786885245902
0.7,0.7868852459016393
1.0,0.7049180327868853
1.5,0.6229508196721312
1.7,0.5901639344262295
1.8,0.5737704918032787
1.9,0.5573770491803278
2.1,0.540983606557377
2.7,0.5245901639344261
3.0,0.5081967213114753
3.1,0.4918032786885245
3.7,0.4754098360655737
4.1,0.4590163934426229
4.7,0.44262295081967207
5.3,0.42622950819672123
5.4,0.3934426229508196
5.7,0.3770491803278688
6.0,0.34426229508196715
6.4,0.31147540983606553
6.9,0.2950819672131147
7.0,0.27868852459016386
7.1,0.262295081967213
7.5,0.2459016393442622
9.0,0.2295081967213114
10.8,0.2131147540983606
11.4,0.19672131147540978
12.0,0.18032786885245897
13.0,0.16393442622950816
13.2,0.13114754098360654
14.0,0.11475409836065573
14.7,0.0983606557377049
15.3,0.08196721311475409
16.5,0.06557377049180328
16.8,0.04371584699453552
22.7,0.04371584699453552
