time,probability
1.0,1.0
2.0,1.0
7.0,1.0
9.0,1.0
11.0,1.0
17.0,1.0
18.0,1.0
27.0,1.0
37.0,1.0
39.0,1.0
40.0,0.9861111111111112
42.0,0.9861111111111112
47.0,0.9861111111111112
50.0,0.9861111111111112
53.0,0.9861111111111112
61.0,0.9861111111111112
63.0,0.9861111111111112
77.0,0.970703125
89.0,0.970703125
95.0,0.970703125
119.0,0.970703125
131.0,0.9545247395833333
136.0,0.9545247395833333
145.0,0.9545247395833333
160.0,0.9545247395833333
163.0,0.9545247395833333
173.0,0.9545247395833333
179.0,0.9545247395833333
187.0,0.9545247395833333
190.0,0.9545247395833333
194.0,0.9545247395833333
215.0,0.9545247395833333
218.0,0.9545247395833333
222.0,0.9342157025709219
241.0,0.9342157025709219
245.0,0.9342157025709219
250.0,0.9342157025709219
264.0,0.9342157025709219
271.0,0.9342157025709219
273.0,0.9114299537277286
281.0,0.9114299537277286
288.0,0.9114299537277286
304.0,0.9114299537277286
336.0,0.9114299537277286
340.0,0.9114299537277286
356.0,0.9114299537277286
369.0,0.9114299537277286
447.0,0.9114299537277286
475.0,0.9114299537277286
479.0,0.9114299537277286
488.0,0.9114299537277286
499.0,0.9114299537277286
532.0,0.9114299537277286
557.0,0.9114299537277286
570.0,0.9114299537277286
630.0,0.9114299537277286
634.0,0.9114299537277286
659.0,0.9114299537277286
731.0,0.9114299537277286
733.0,0.9114299537277286
758.0,0.9114299537277286
789.0,0.8634599561631112
793.0,0.8634599561631112
817.0,0.8634599561631112
869.0,0.8094937089029167
880.0,0.8094937089029167
951.0,0.8094937089029167
965.0,0.8094937089029167
984.0,0.8094937089029167
1034.0,0.8094937089029167
1062.0,0.8094937089029167
1064.0,0.8094937089029167
1129.0,0.8094937089029167
1141.0,0.8094937089029167
1168.0,0.6745780907524306
1290.0,0.6745780907524306
1350.0,0.6745780907524306
1466.0,0.6745780907524306
1481.0,0.6745780907524306
