model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,bmt-ch,0,0.1727940301620218,0.2079619387528834,10,24.0,2.4,0.0,2.4,0.9421861062688164,1.0,0.1761904761904761,23.492857258,17.629137053,5.852388381000001,0.8,0.5,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1646429565592747,0.2225454474329209,11,28.0,2.5454545454545454,0.0,2.5454545454545454,0.988245604428566,1.0,0.1482683982683982,25.054346072,19.068819081,5.974359244,0.9090909090909092,0.8181818181818182,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1424289145044991,0.1605261887377545,14,45.0,3.2142857142857144,0.0,3.2142857142857144,0.9599582480457776,1.0,0.1322278911564626,30.41185141,23.379537539,7.022866241000001,0.7857142857142857,0.5714285714285714,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1441070179126044,0.2548838477721385,14,41.0,2.9285714285714284,0.0,2.9285714285714284,0.9746587041379844,1.0,0.1673710904480135,45.834259154,35.469947769,10.354635499,0.7857142857142857,0.5,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.127033293927083,0.194132023982214,20,70.0,3.5,0.0,3.5,0.943573704698506,1.0,0.0985207100591716,72.768493574,57.24178856500001,15.516506566,0.5,0.3,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1563064522543073,0.1369641377729134,14,46.0,3.2857142857142856,0.0,3.2857142857142856,0.954532111742955,1.0,0.129251700680272,21.181368062,15.650602361,5.518517637,0.7857142857142857,0.7142857142857143,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1648721056380836,0.2078929519489772,19,70.0,3.6842105263157894,0.0,3.6842105263157894,0.9378830361180284,1.0,0.1174812030075188,49.262948575,36.668080221,12.58414667,0.4210526315789473,0.3157894736842105,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.16728295206569,0.2908429388727501,10,24.0,2.4,0.0,2.4,0.965442527142263,1.0,0.2017857142857143,19.76399597,14.920768695,4.8324753430000005,0.5,0.5,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1449501332972968,0.2417732474889838,15,47.0,3.1333333333333333,0.0,3.1333333333333333,0.9188324247206388,1.0,0.1162698412698412,39.532394413,29.54409143300001,9.9785703,0.5333333333333333,0.4666666666666667,Correlation,Correlation,Correlation
plain,no_discretization,bmt-ch,0,0.1515183804078297,0.2374221094150737,10,22.0,2.2,0.0,2.2,0.9508053806037116,1.0,0.1485207100591716,26.396827087,19.099528302,7.287065671,0.5,0.5,Correlation,Correlation,Correlation
