dataset,model_type,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),induction measure,pruning measure,voting measure,variant,M-of-N count (std),integrated_brier_score (train) (std),integrated_brier_score (test) (std),rules (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std)
pbc,exact_M-of-N,1.1111111111111112,0.1454903168039293,0.155956140632602,2.555555555555556,3.555555555555556,1.259259259259259,0.9999727693202484,1.0,0.4738721434200157,7.3513608243730335,4.458285605333334,1.918529605555556,Correlation,Correlation,Correlation,no_discretization,2.088327347690278,0.0048345329573642,0.0490852881896574,0.8819171036881968,2.603416558635552,0.4339027597725919,8.168643276351502e-05,0.0,0.0577850449471444,9.848572959710983,5.794558048182967,3.77467892258108
pbc,plain,0.0,0.1464166092750664,0.1514039675641168,8.0,14.444444444444445,1.8181300181300184,0.9946668469147666,1.0,0.4093616111545312,421.1094935461112,296.1471095446666,124.9554243881111,Correlation,Correlation,Correlation,no_discretization,0.0,0.0096273942972823,0.03858467005532,3.1622776601683795,5.981452814975453,0.3560879166117258,0.0159988675538115,0.0,0.091222016758798,315.2114524811583,221.86889158449492,93.422420316193
whas1,at_least_M-of-N,0.8888888888888888,0.2143992135346219,0.215004196576164,3.333333333333333,5.666666666666667,1.4283068783068782,0.998714173661496,1.0,0.4680366041530612,1706385745.292758,12.171645685999998,0.3600056531111111,Correlation,Correlation,Correlation,no_discretization,1.3642254619787415,0.0083094875132098,0.0461612032541494,1.7320508075688772,5.545268253204709,0.6053901457085656,0.0026450514326868,0.0,0.1151226022926549,67809.10622449334,19.80488321522277,0.5612961975896524
whas1,complex,0.0,0.2092731243667704,0.2098531661743643,6.222222222222222,21.444444444444443,3.1246031746031746,0.9984897215129928,1.0,0.4068377791626443,23061.818489584555,22964.554107529,97.247443435,Correlation,Correlation,Correlation,no_discretization,0.0,0.008986285575582,0.0415306193672888,1.855921454276674,15.96958915494628,1.8061599372206385,0.0025399499642517,0.0,0.0785953657402353,10656.015770368118,10611.287882472436,45.43788315270884
whas1,exact_M-of-N,1.8888888888888888,0.2181003045761474,0.2186484769298216,4.444444444444445,9.88888888888889,1.8936507936507936,0.9982218609696796,1.0,0.4287114256930782,18.405034992429947,15.797166931666668,0.5003047913333334,Correlation,Correlation,Correlation,no_discretization,2.1473497877875207,0.0066273618611718,0.0469298475210818,2.068278940998476,8.767046886558273,0.9171512324692992,0.0032392597581844,0.0,0.151927051920758,27.55348263327481,24.45110049508736,0.718387349634827
whas1,plain,0.0,0.2029144536756179,0.1967487411260055,5.0,8.11111111111111,1.5888888888888888,0.9912238012651494,1.0,0.3646515838394205,60.38240488288889,50.39548463544445,9.981227354444444,Correlation,Correlation,Correlation,no_discretization,0.0,0.0101294420054181,0.0627022381175975,1.7320508075688772,4.255715111601235,0.4396178896369992,0.0116444688324452,0.0,0.0408131848783534,35.900542333583054,28.626801794186694,7.380714307659874
whas500,at_least_M-of-N,12.666666666666666,0.1806883635035199,0.2116953260352379,8.0,22.22222222222222,2.6803622303622308,0.9949518081943112,1.0,0.2775095418984307,1706432324.8580573,1056.2817067976664,3099.714954666,Correlation,Correlation,Correlation,no_discretization,12.439855304624729,0.0074011757869718,0.0422048358590348,2.345207879911715,10.92906420717,0.5360546845006292,0.0100818728701449,0.0,0.0435801312533389,59075.31612444767,1956.052499418149,6328.346219686655
whas500,complex,0.0,0.1743844876408397,0.1966192690329414,9.666666666666666,30.33333333333333,3.025645342312009,0.997520776014482,1.0,0.2624269502788021,13337.336234129332,13276.795093804889,60.525289365,Correlation,Correlation,Correlation,no_discretization,0.0,0.0103251753516778,0.0334737931868803,2.8722813232690148,14.13329402510257,0.6879107480717483,0.0021784266535697,0.0,0.0672426563406052,8085.225074540161,8057.7903620623265,30.34191230738486
whas500,exact_M-of-N,23.33333333333333,0.173628959919657,0.1934766039475076,10.333333333333334,30.77777777777778,2.69898369604252,0.990947740341608,1.0,0.2410712510075255,2874.345510085424,834.336939065889,2037.6229838307777,Correlation,Correlation,Correlation,no_discretization,20.46948949045872,0.0094346743059808,0.0263917193689879,5.1478150704935,20.21000852163216,0.7485985488876916,0.0098740128914136,0.0,0.0804687902526541,5900.60915787062,1540.145266871608,4384.330838341016
whas500,plain,0.0,0.1826477046683753,0.1982675621245392,5.444444444444445,9.22222222222222,1.5750000000000002,0.9990640493938352,1.0,0.4356913580246913,131.32253319066663,92.22810252511113,39.08869790066667,Correlation,Correlation,Correlation,no_discretization,0.0,0.0073641095658569,0.0292670268388687,1.740051084818425,5.309844107357997,0.5059712881621292,0.0028007532450667,0.0,0.1147260768192304,69.93650907410726,52.01952172696727,18.999281235983112
zinc,at_least_M-of-N,0.3333333333333333,0.0912380418819713,0.0932503793659678,4.0,8.88888888888889,1.7765432098765432,0.9971133502550168,1.0,0.4457975557272288,1706393113.7179036,0.0489301604444444,0.0383387778888888,Correlation,Correlation,Correlation,no_discretization,0.7071067811865476,0.0061335798622959,0.0321776068152789,2.449489742783178,8.608781046763305,1.0751714540912671,0.0086599085696808,0.0,0.2561484857806282,7670.615353253278,0.0336850942373265,0.0424421161321019
zinc,complex,0.0,0.0859098782731116,0.0963321547597864,4.777777777777778,10.88888888888889,2.167195767195767,0.9999997125530729,1.0,0.3002048768751397,3156.1599149432222,2966.5568203915554,189.52772459722223,Correlation,Correlation,Correlation,no_discretization,0.0,0.0041628557607158,0.0304525971717889,1.481365736219265,4.859126579037751,0.5874789253924751,8.575912764774093e-07,0.0,0.1101500643098406,1252.7002017235563,1180.2605689756977,74.22703611003551
zinc,exact_M-of-N,1.0,0.0906486704753986,0.0929528043097942,4.444444444444445,9.88888888888889,1.841358024691358,0.9971067417497248,1.0,0.3993103468688859,0.1140231291453043,0.0503262456666666,0.0407820626666666,Correlation,Correlation,Correlation,no_discretization,1.7320508075688772,0.0065613744900448,0.0326393142709427,2.351122663277647,8.298259523003068,1.0691706399536138,0.0086574526601261,0.0,0.2541255273267615,0.0791062868631228,0.0333273569005565,0.0430063777521559
zinc,plain,0.0,0.0847659591597586,0.0900283085780396,8.333333333333334,22.444444444444443,2.714229597562931,0.994751433588994,1.0,0.1986744732247742,11.629823938333333,9.786578800222223,1.8253601207777777,Correlation,Correlation,Correlation,no_discretization,0.0,0.003424782809996,0.0328963488047794,3.1622776601683795,8.516324194027478,0.2702169309125498,0.0135729301115115,0.0,0.0679018365492512,5.8945286214589565,4.9048768819752055,1.013246349402373
