model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,zinc,0,0.0834755330185369,0.0889748794271872,6,15.0,0.16666666666666666,2.3333333333333335,2.5,0.9999999999999288,1.0,0.320446735395189,4721.432818882,4451.726249836,269.633293001,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.081469561823158,0.1266851964543542,5,11.0,0.0,2.2,2.2,0.999999999953402,1.0,0.265979381443299,4284.44980582,4003.988795963,280.379360466,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0907216725315765,0.1077414702630477,2,2.0,0.0,1.0,1.0,1.0,1.0,0.5515463917525774,1542.652110978,1433.632957327,108.924387637,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0817537026106297,0.1306986309107453,6,18.0,0.0,3.0,3.0,0.999962666492656,1.0,0.1937285223367697,5362.492943967,5010.349698753999,352.06009277299995,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0799894783948703,0.1518436784161564,5,12.0,0.0,2.4,2.4,0.9999999999999996,1.0,0.2804123711340206,5222.073726479,4890.08625655,331.913337161,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0899081751861213,0.0616452883550836,4,12.0,0.0,3.0,3.0,0.9999999999984868,1.0,0.2609536082474226,3402.857419384,3230.244299432,172.54183705499997,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0919135327413172,0.0537141958581815,4,7.0,0.0,1.75,1.75,0.9999999982573884,1.0,0.3125,3681.369441132,3455.9236396080005,225.368335806,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0878093752823698,0.0860874156250883,4,5.0,0.0,1.25,1.25,0.9999999991347784,1.0,0.2881136950904392,3295.205536442,3096.723379384,198.398280143,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0850028846916988,0.0879423372072194,4,7.0,0.25,1.5,1.75,0.9999999999237836,1.0,0.345360824742268,2147.003055821,2012.702275072,134.232666532,1.0,1.0,Correlation,Correlation,Correlation
complex,no_discretization,zinc,0,0.0845424948087949,0.1023752022448061,7,18.0,0.0,2.5714285714285716,2.5714285714285716,0.9999999891822384,1.0,0.1682621502209131,6921.982108307,6493.867204081,428.036998629,1.0,1.0,Correlation,Correlation,Correlation
