time,probability
4.0,0.9743589743589743
5.0,0.9487179487179487
16.0,0.9487179487179487
20.0,0.9199689199689199
28.0,0.9199689199689199
31.0,0.890292503195729
42.0,0.860616086422538
47.0,0.860616086422538
55.0,0.860616086422538
58.0,0.8287414165550365
65.0,0.7968667466875351
69.0,0.7649920768200337
70.0,0.7649920768200337
83.0,0.7649920768200337
99.0,0.7302197096918503
103.0,0.6954473425636669
116.0,0.6606749754354836
127.0,0.6606749754354836
131.0,0.6218117415863375
223.0,0.5829485077371913
225.0,0.5829485077371913
241.0,0.5413093286131062
244.0,0.5413093286131062
251.0,0.49620021789534735
313.0,0.49620021789534735
328.0,0.49620021789534735
337.0,0.44106686035141984
417.0,0.44106686035141984
538.0,0.37805730887264555
641.0,0.3150477573938713
744.0,0.3150477573938713
790.0,0.2362858180454035
810.0,0.15752387869693565
1083.0,0.15752387869693565
1355.0,0.15752387869693565
