time,probability
662.0,0.975
691.0,0.975
1067.0,0.975
1072.0,0.975
1092.0,0.975
1097.0,0.975
1119.0,0.975
1129.0,0.975
1141.0,0.975
1150.0,0.975
1168.0,0.9425
1170.0,0.9425
1197.0,0.9088392857142857
1223.0,0.9088392857142857
1236.0,0.9088392857142857
1328.0,0.9088392857142857
1329.0,0.9088392857142857
1343.0,0.9088392857142857
1375.0,0.9088392857142857
1462.0,0.8655612244897959
1560.0,0.8655612244897959
1639.0,0.8655612244897959
1680.0,0.8655612244897959
1725.0,0.8655612244897959
1746.0,0.8114636479591837
1899.0,0.8114636479591837
1925.0,0.8114636479591837
1987.0,0.8114636479591837
2149.0,0.8114636479591837
2403.0,0.8114636479591837
2537.0,0.8114636479591837
2563.0,0.8114636479591837
2716.0,0.8114636479591837
2844.0,0.8114636479591837
2855.0,0.8114636479591837
3021.0,0.8114636479591837
3231.0,0.8114636479591837
3492.0,0.8114636479591837
3527.0,0.8114636479591837
4062.0,0.8114636479591837
