,dataset,model_type,training time total (s),training time total (s) (std),training time growing (s) (std),training time growing (s),training time pruning (s) (std),training time pruning (s)
0,monk-1,at_least_M-of-N,0.009,,,0.003,,0.001
0,monk-1,complex,0.023,,,0.023,,0.001
0,monk-1,exact_M-of-N,0.009,,,0.003,,0.001
0,monk-1,plain,0.038,,,0.049,,0.015
0,monk-2,at_least_M-of-N,0.153,,,0.128,,0.013
0,monk-2,complex,0.119,,,0.169,,0.033
0,monk-2,exact_M-of-N,0.295,,,0.116,,0.016
0,monk-2,plain,0.051,,,0.067,,0.025
0,monk-3,at_least_M-of-N,0.034,,,0.022,,0.004
0,monk-3,complex,0.085,,,0.132,,0.011
0,monk-3,exact_M-of-N,0.03,,,0.024,,0.004
0,monk-3,plain,0.05,,,0.061,,0.013
0,mushroom,at_least_M-of-N,0.214,0.012,0.018,0.215,0.002,0.067
0,mushroom,complex,0.122,0.091,0.022,0.131,0.002,0.015
0,mushroom,exact_M-of-N,0.215,0.014,0.019,0.217,0.002,0.067
0,mushroom,plain,1.197,0.071,0.074,1.162,0.009,0.178
0,nursery,at_least_M-of-N,49.291,5.338,5.501,59.673,0.101,1.959
0,nursery,complex,68.472,3.573,4.032,73.049,0.159,3.497
0,nursery,exact_M-of-N,49.343,5.359,5.551,59.762,0.111,1.979
0,nursery,plain,68.536,3.275,4.42,116.218,0.085,2.016
0,sonar,at_least_M-of-N,0.1,0.039,0.013,0.05,0.002,0.007
0,sonar,complex,15.189,3.098,6.442,29.09,0.009,0.007
0,sonar,exact_M-of-N,0.1,0.044,0.01,0.047,0.002,0.006
0,sonar,plain,0.281,0.045,0.072,0.482,0.001,0.005
0,soybean,at_least_M-of-N,1.002,0.165,0.441,1.795,0.046,0.136
0,soybean,complex,0.722,0.155,0.266,2.014,0.039,0.136
0,soybean,exact_M-of-N,0.895,0.244,0.368,1.431,0.022,0.13
0,soybean,plain,0.094,0.013,0.077,0.46,0.006,0.031
0,tic-tac-toe,at_least_M-of-N,2.159,0.706,0.062,0.384,0.007,0.039
0,tic-tac-toe,complex,0.19,0.032,0.041,0.26,0.007,0.054
0,tic-tac-toe,exact_M-of-N,2.014,0.707,0.142,0.479,0.024,0.052
0,tic-tac-toe,plain,0.069,0.008,0.017,0.088,0.005,0.034
0,titanic,at_least_M-of-N,0.178,0.029,0.04,0.208,0.009,0.052
0,titanic,complex,0.223,0.027,0.027,0.295,0.011,0.094
0,titanic,exact_M-of-N,0.2,0.07,0.047,0.216,0.046,0.069
0,titanic,plain,0.142,0.037,0.048,0.176,0.014,0.071
0,vote,at_least_M-of-N,0.089,0.018,0.004,0.055,0.001,0.002
0,vote,complex,0.284,0.074,0.076,0.38,0.002,0.008
0,vote,exact_M-of-N,0.098,0.039,0.02,0.066,0.003,0.004
0,vote,plain,0.041,0.011,0.021,0.067,0.001,0.003
0,wine,at_least_M-of-N,0.114,0.01,0.016,0.056,0.007,0.006
0,wine,complex,0.343,0.032,0.097,0.779,0.001,0.003
0,wine,exact_M-of-N,0.124,0.031,0.004,0.048,0.002,0.004
0,wine,plain,0.045,0.01,0.019,0.103,0.001,0.006
0,zoo,at_least_M-of-N,0.05,0.008,0.031,0.162,0.002,0.004
0,zoo,complex,0.245,0.11,0.111,0.443,0.005,0.03
0,zoo,exact_M-of-N,0.046,0.005,0.026,0.16,0.002,0.004
0,zoo,plain,0.038,0.005,0.031,0.172,0.002,0.006
