time,probability
185.0,0.9666666666666667
204.0,0.9333333333333333
295.0,0.9
386.0,0.8666666666666666
426.0,0.8333333333333333
493.0,0.7999999999999999
529.0,0.7666666666666666
629.0,0.7333333333333333
667.0,0.7
752.0,0.6666666666666666
779.0,0.6333333333333333
793.0,0.6
826.0,0.5666666666666667
858.0,0.5333333333333333
869.0,0.5
1041.0,0.4666666666666667
1062.0,0.43333333333333335
1075.0,0.4
1271.0,0.3666666666666667
1312.0,0.33333333333333337
1621.0,0.30000000000000004
1667.0,0.2666666666666667
1860.0,0.2333333333333334
1958.0,0.2333333333333334
2028.0,0.2333333333333334
2209.0,0.2333333333333334
2426.0,0.2333333333333334
3523.0,0.2333333333333334
4103.0,0.2333333333333334
4668.0,0.2333333333333334
