model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,std,0.2631578947368421,0.1988662219551088,0.2463669462487067,19,75.0,2.210526315789474,1.4736842105263157,3.9473684210526314,0.9717783498792932,1.0,0.2248015475952237,7.927180528640747,3.604054614,3.4297437,0.8947368421052632,0.7894736842105263,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.9285714285714286,0.1999498805007698,0.2127097101066717,14,42.0,1.2142857142857142,0.8571428571428571,3.0,0.9758937469179392,1.0,0.1619590802100307,5.280874490737915,2.05288022,3.0343363300000004,0.7857142857142857,0.7142857142857143,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.0,0.2035297728754863,0.1989617177778986,9,29.0,1.1111111111111112,2.111111111111111,3.2222222222222223,0.9766661067214886,1.0,0.1894099422616532,29.31096243858337,7.74267433,10.020485539,0.8888888888888888,0.5555555555555556,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.125,0.1929274701703267,0.2543864828205175,16,70.0,2.25,2.0,4.375,0.976963325733074,1.0,0.1489715189873418,74.79562497138977,20.008572151,32.013967332,0.9375,0.625,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.75,0.2033553543294483,0.1956317583410822,12,43.0,1.0833333333333333,1.75,3.5833333333333335,0.9810383919971204,1.0,0.1735232067510548,11.005757331848145,4.036094212999999,6.323861235,0.8333333333333334,0.6666666666666666,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.0,0.2006740870817999,0.3166135469938982,9,36.0,1.2222222222222223,2.7777777777777777,4.0,0.972667379643105,1.0,0.2116603295310519,4.346882581710815,1.950580881,1.683714786,0.7777777777777778,0.5555555555555556,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.11764705882352941,0.196216236571371,0.2092915468484295,17,69.0,1.6470588235294117,2.2941176470588234,4.0588235294117645,0.9782046907910046,1.0,0.1200328039961231,36.473952770233154,12.32422042,17.002477728,0.8823529411764706,0.5882352941176471,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.0,0.2100611470943812,0.1773479498736469,8,22.0,1.875,0.875,2.75,0.9919702597762774,1.0,0.2371673003802281,6.098798513412476,2.51823931,2.915345928,1.0,1.0,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.14285714285714285,0.2084927846082094,0.1688688835487197,7,21.0,2.142857142857143,0.7142857142857143,3.0,0.9710370448862548,1.0,0.1578852073148651,15.774134874343872,4.561543232,6.6577606650000005,0.5714285714285714,0.4285714285714285,Correlation,Correlation,Correlation
exact_M-of-N,no_discretization,std,0.75,0.2030657645629127,0.2181544957583051,8,35.0,2.75,0.875,4.375,0.994696862194154,1.0,0.1700949367088607,10.474285125732422,4.098360411,4.680183115999999,1.0,1.0,Correlation,Correlation,Correlation
