time,probability
0.5,0.9814814814814815
31.0,0.962962962962963
60.0,0.9444444444444444
61.0,0.9074074074074074
153.0,0.888888888888889
174.0,0.8703703703703703
273.0,0.8518518518518519
277.0,0.8333333333333334
365.0,0.8148148148148148
499.0,0.7962962962962963
518.0,0.7592592592592593
547.0,0.7407407407407408
566.0,0.7222222222222223
760.0,0.7037037037037038
791.0,0.6851851851851853
845.0,0.6666666666666669
1077.0,0.6481481481481484
1125.0,0.6296296296296299
1434.0,0.6111111111111114
1625.0,0.5925925925925929
1767.0,0.5555555555555558
1857.0,0.5370370370370373
2006.0,0.5185185185185188
2099.0,0.5000000000000003
2121.0,0.4814814814814818
2223.0,0.46296296296296324
2400.0,0.4444444444444447
2466.0,0.4259259259259262
2587.0,0.40740740740740766
2833.0,0.3888888888888892
2910.0,0.3703703703703706
3012.0,0.3518518518518521
3068.0,0.33333333333333354
3167.0,0.314814814814815
3226.0,0.29629629629629645
3932.0,0.2777777777777779
3962.0,0.25925925925925936
4224.0,0.24074074074074084
4249.0,0.22222222222222232
4505.0,0.20370370370370378
4758.0,0.18518518518518526
5024.0,0.16666666666666674
5047.0,0.1481481481481482
5143.0,0.12962962962962968
5216.0,0.11111111111111115
5234.0,0.09259259259259263
6626.0,0.07407407407407411
7576.0,0.05555555555555558
7921.0,0.03703703703703705
8327.0,0.018518518518518524
9603.0,0.0
