time,probability
6.0,0.9855072463768116
10.0,0.9710144927536233
11.0,0.9565217391304348
15.0,0.9420289855072465
26.0,0.9275362318840581
28.0,0.9130434782608697
41.0,0.8840579710144929
48.0,0.8550724637681161
53.0,0.8405797101449277
56.0,0.8260869565217392
58.0,0.8115942028985508
60.0,0.782608695652174
64.0,0.7681159420289856
68.0,0.7536231884057972
90.0,0.7391304347826088
136.0,0.7246376811594203
137.0,0.7101449275362318
163.0,0.6956521739130433
174.0,0.6811594202898549
181.0,0.6666666666666664
182.0,0.652173913043478
202.0,0.6376811594202896
214.0,0.6231884057971012
224.0,0.6086956521739127
246.0,0.5942028985507243
321.0,0.5797101449275359
335.0,0.5652173913043476
385.0,0.5362318840579707
413.0,0.5217391304347824
435.0,0.507246376811594
445.0,0.507246376811594
454.0,0.507246376811594
494.0,0.507246376811594
534.0,0.4913949275362317
634.0,0.4755434782608694
704.0,0.4755434782608694
767.0,0.4755434782608694
849.0,0.4585597826086955
942.0,0.4585597826086955
996.0,0.44092286789297647
1000.0,0.44092286789297647
1006.0,0.44092286789297647
1214.0,0.44092286789297647
1280.0,0.44092286789297647
1346.0,0.44092286789297647
1376.0,0.44092286789297647
1397.0,0.44092286789297647
1432.0,0.44092286789297647
1522.0,0.44092286789297647
1627.0,0.44092286789297647
1781.0,0.44092286789297647
1838.0,0.44092286789297647
1895.0,0.44092286789297647
2036.0,0.44092286789297647
2105.0,0.44092286789297647
2112.0,0.44092286789297647
2118.0,0.44092286789297647
2293.0,0.44092286789297647
2317.0,0.44092286789297647
2354.0,0.44092286789297647
2373.0,0.44092286789297647
2525.0,0.44092286789297647
2699.0,0.44092286789297647
2761.0,0.44092286789297647
2800.0,0.44092286789297647
