model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,bmt-ch,0.15384615384615385,0.1713525878133513,0.2351271272716232,13,49.0,2.769230769230769,0.8461538461538461,3.769230769230769,0.9432880472763184,1.0,0.1593406593406593,1706722676.7291794,0.511343804,0.151858525,0.6153846153846154,0.4615384615384615,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.25,0.2188638767341868,0.260686918222511,4,6.0,0.25,0.0,1.5,0.99965024695957,1.0,0.462797619047619,1706719688.287807,0.287372868,0.355194002,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.0,0.2221216082719436,0.2137008282102376,3,4.0,0.3333333333333333,0.0,1.3333333333333333,0.996830240845294,1.0,0.3392857142857142,1706735031.5920618,0.137681602,0.10617631,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.5,0.2064868880592812,0.2042567172468873,4,12.0,1.5,1.0,3.0,0.970836202032023,1.0,0.2677514792899408,1706744966.374767,0.3594792759999999,0.209407612,0.75,0.75,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.36363636363636365,0.1984182599790015,0.1996711927297705,11,35.0,2.1818181818181817,0.6363636363636364,3.1818181818181817,0.9869538884067364,1.0,0.2668101129639591,1706738156.3652933,0.31763287,0.083834026,0.9090909090909092,0.9090909090909092,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.0,0.1937698110436628,0.1585236338046511,12,38.0,2.25,0.9166666666666666,3.1666666666666665,0.980241739044191,1.0,0.1944444444444444,1706726226.639938,0.514395349,0.235465662,0.8333333333333334,0.75,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,1.8,0.1947640118044396,0.2091637177035766,10,30.0,0.7,0.5,3.0,0.9847101222244408,1.0,0.2619047619047619,1706728565.0243917,1.025450486,3.335567389,0.9,0.7,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.7692307692307693,0.1990856443627532,0.3192065620807872,13,42.0,2.076923076923077,0.38461538461538464,3.230769230769231,0.9783798425876606,1.0,0.2605311355311355,1706717079.639285,2.708319687,10.973515218,0.8461538461538461,0.7692307692307693,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.6666666666666666,0.2193714039037582,0.3791070678890485,3,7.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.9996912975648008,1.0,0.3452380952380953,1706731939.132759,0.058752513,0.012666502,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,bmt-ch,0.0,0.1797075518604611,0.3085439788974384,14,45.0,1.4285714285714286,1.7857142857142858,3.2142857142857144,0.95799082507484,1.0,0.2016060862214708,1706742215.0428123,0.968118103,0.439941023,0.7142857142857143,0.5714285714285714,Correlation,Correlation,Correlation
