model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,whas500,6,0.1759403219437467,0.2950886731849489,7,18.0,2.571428571428572,0.9883391366382416,1.0,0.2552380952380952,1706393945.713885,3.1553527479999994,1.222874678,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,24,0.1832702020735046,0.1945998028556436,8,27.0,3.375,0.998018665784874,1.0,0.2505555555555555,1706379750.9494116,5053.478478317999,17848.870151116,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,8,0.1821870948950218,0.2006830588411684,7,15.0,2.142857142857143,0.9999978805630686,1.0,0.333015873015873,1706469062.1783948,15.57533877,8.199951262999999,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,1,0.1722511361177637,0.1636584848374274,8,23.0,2.875,0.9995111589837976,1.0,0.3061111111111111,1706497784.0715208,5.863885316,0.671786924,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,8,0.1677100329878791,0.202428927756897,8,20.0,2.5,0.9999999803249556,1.0,0.2669444444444445,1706416759.055312,72.999397668,43.507134046,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,16,0.1805662418827558,0.2214369070644855,10,24.0,2.4,0.999962028392483,1.0,0.2628888888888888,1706445702.108418,3855.72099927,9375.554736242995,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,2,0.1893810505569558,0.1970933981570716,6,13.0,2.1666666666666665,0.9999991469814372,1.0,0.3092592592592593,1706324236.7489126,0.287254387,0.058313288,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,9,0.1878108645543173,0.260724007815942,5,12.0,2.4,0.9987517999229218,1.0,0.3195555555555556,1706459042.7632174,8.752346660999999,8.949967371,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,whas500,40,0.1870783265197348,0.1695446738035567,13,48.0,3.692307692307693,0.9699864761570196,1.0,0.194017094017094,1706504640.1334434,490.7023080409999,610.3996770649999,Correlation,Correlation,Correlation
