time,probability
4.0,1.0
5.0,0.9743589743589743
19.0,0.9743589743589743
28.0,0.9743589743589743
55.0,0.9743589743589743
65.0,0.9604395604395605
71.0,0.9604395604395605
74.0,0.9604395604395605
101.0,0.9461046416270297
116.0,0.9461046416270297
117.0,0.9461046416270297
124.0,0.9461046416270297
128.0,0.9310871076329498
131.0,0.9310871076329498
142.0,0.9158233845569997
144.0,0.9005596614810497
146.0,0.8852959384050998
155.0,0.8852959384050998
165.0,0.8697644307137822
175.0,0.8542329230224646
194.0,0.8542329230224646
215.0,0.8384137948183449
233.0,0.8384137948183449
251.0,0.8222904526102998
252.0,0.8222904526102998
304.0,0.8222904526102998
306.0,0.8222904526102998
309.0,0.8047949110653997
316.0,0.7872993695204997
321.0,0.7872993695204997
324.0,0.7694062020313974
328.0,0.7694062020313974
338.0,0.7510870067449356
363.0,0.7327678114584737
367.0,0.7327678114584737
377.0,0.7139788932159488
410.0,0.7139788932159488
411.0,0.7139788932159488
415.0,0.7139788932159488
416.0,0.7139788932159488
420.0,0.7139788932159488
465.0,0.6923431691791019
472.0,0.670707445142255
474.0,0.6490717211054081
505.0,0.6490717211054081
518.0,0.6490717211054081
534.0,0.6490717211054081
566.0,0.6490717211054081
668.0,0.6241074241398155
679.0,0.6241074241398155
682.0,0.5981029481339898
705.0,0.5720984721281641
810.0,0.5460939961223384
837.0,0.5460939961223384
860.0,0.5460939961223384
879.0,0.5460939961223384
890.0,0.5157554407822085
895.0,0.5157554407822085
938.0,0.5157554407822085
982.0,0.5157554407822085
984.0,0.5157554407822085
1050.0,0.5157554407822085
1087.0,0.4727758207170244
1096.0,0.4297962006518403
1126.0,0.4297962006518403
1162.0,0.3820410672460803
1217.0,0.3820410672460803
1292.0,0.3820410672460803
1341.0,0.3820410672460803
1386.0,0.3820410672460803
1412.0,0.3820410672460803
1425.0,0.3820410672460803
1446.0,0.3820410672460803
1529.0,0.3820410672460803
